time,Open,Close,Low,High,volume,complete
2023-10-19 21:00:00+00:00,93.353,92.594,91.952,93.862,51716,True
2023-10-22 21:00:00+00:00,92.136,90.664,89.939,92.571,53823,True
2023-10-23 21:00:00+00:00,90.670,88.496,87.692,90.877,51935,True
2023-10-24 21:00:00+00:00,88.490,90.292,87.038,90.614,56322,True
2023-10-25 21:00:00+00:00,90.292,88.562,87.758,90.565,63027,True
2023-10-26 21:00:00+00:00,88.562,90.056,88.024,90.675,63280,True
2023-10-29 21:00:00+00:00,90.018,87.731,86.906,90.018,57807,True
2023-10-30 21:00:00+00:00,87.730,86.430,85.811,88.469,52319,True
2023-10-31 21:00:00+00:00,86.420,86.031,85.585,88.263,47352,True
2023-11-01 21:00:00+00:00,86.026,87.837,85.618,88.044,45816,True
2023-11-02 21:00:00+00:00,87.842,86.098,85.496,88.770,53940,True
2023-11-05 22:00:00+00:00,86.138,86.049,85.769,87.306,42964,True
2023-11-06 22:00:00+00:00,86.049,82.219,82.169,86.073,43459,True
2023-11-07 22:00:00+00:00,82.214,80.486,79.916,82.712,53059,True
2023-11-08 22:00:00+00:00,80.476,80.595,80.138,82.156,45866,True
2023-11-09 22:00:00+00:00,80.600,82.326,80.504,82.735,37384,True
2023-11-12 22:00:00+00:00,81.936,83.320,80.987,83.401,37168,True
2023-11-13 22:00:00+00:00,83.314,82.974,82.613,84.528,38233,True
2023-11-14 22:00:00+00:00,82.979,81.547,81.288,83.555,42670,True
2023-11-15 22:00:00+00:00,81.537,77.929,77.044,81.639,44745,True
2023-11-16 22:00:00+00:00,77.934,81.024,77.709,81.234,41488,True
2023-11-19 22:00:00+00:00,80.380,82.357,80.375,83.272,36269,True
2023-11-20 22:00:00+00:00,82.352,82.747,81.733,82.788,41350,True
2023-11-21 22:00:00+00:00,82.742,81.809,78.707,82.907,53791,True
2023-11-22 22:00:00+00:00,81.804,81.342,80.321,81.859,31286,True
2023-11-23 22:00:00+00:00,81.496,80.293,80.253,82.239,32871,True
2023-11-26 22:00:00+00:00,80.426,80.245,79.265,81.329,50994,True
2023-11-27 22:00:00+00:00,80.240,81.632,79.890,82.150,39651,True
2023-11-28 22:00:00+00:00,81.637,82.844,80.906,83.170,46596,True
2023-11-29 22:00:00+00:00,82.849,80.618,80.192,84.780,71663,True
2023-11-30 22:00:00+00:00,80.628,79.294,78.919,81.696,56588,True
2023-12-03 22:00:00+00:00,79.588,78.340,77.670,79.883,56784,True
2023-12-04 22:00:00+00:00,78.335,77.162,77.152,79.229,52829,True
2023-12-05 22:00:00+00:00,77.172,74.362,74.242,77.776,48435,True
2023-12-06 22:00:00+00:00,74.367,74.526,73.731,75.591,48111,True
2023-12-07 22:00:00+00:00,74.516,76.068,74.320,76.480,47180,True
2023-12-10 22:00:00+00:00,75.811,76.167,75.118,76.591,37192,True
2023-12-11 22:00:00+00:00,76.157,73.488,72.958,76.745,38904,True
2023-12-12 22:00:00+00:00,73.498,74.694,72.389,74.704,45118,True
2023-12-13 22:00:00+00:00,74.689,76.688,74.471,77.310,39155,True
2023-12-14 22:00:00+00:00,76.683,76.887,75.380,77.284,45993,True
2023-12-17 22:00:00+00:00,76.906,77.967,75.821,79.452,47828,True
2023-12-18 22:00:00+00:00,77.962,79.269,77.341,79.568,37738,True
2023-12-19 22:00:00+00:00,79.264,78.974,78.919,80.399,37990,True
2023-12-20 22:00:00+00:00,78.979,78.993,77.615,79.799,50518,True
2023-12-21 22:00:00+00:00,78.983,78.718,78.463,79.910,42007,True
2023-12-25 22:00:00+00:00,78.558,80.528,78.220,81.276,36660,True
2023-12-26 22:00:00+00:00,80.538,79.125,79.085,80.849,42143,True
2023-12-27 22:00:00+00:00,79.100,77.304,76.944,79.705,43630,True
2023-12-28 22:00:00+00:00,77.299,76.928,76.609,77.830,38146,True
2024-01-01 22:00:00+00:00,77.352,75.843,75.478,78.926,58146,True
2024-01-02 22:00:00+00:00,75.853,78.354,74.672,78.538,50029,True
2024-01-03 22:00:00+00:00,78.349,77.569,76.390,79.274,51284,True
2024-01-04 22:00:00+00:00,77.564,78.752,77.500,79.145,48673,True
2024-01-07 22:00:00+00:00,78.621,76.234,75.164,78.836,46143,True
2024-01-08 22:00:00+00:00,76.239,77.427,75.856,78.084,45787,True
2024-01-09 22:00:00+00:00,77.422,76.662,76.302,78.633,59712,True
2024-01-10 22:00:00+00:00,76.657,78.170,76.578,79.003,66969,True
2024-01-11 22:00:00+00:00,78.185,78.264,77.879,80.665,91865,True
2024-01-14 22:00:00+00:00,78.084,78.263,76.783,78.565,39929,True
2024-01-15 22:00:00+00:00,78.253,77.717,77.547,79.325,69357,True
2024-01-16 22:00:00+00:00,77.712,77.960,76.461,78.076,59411,True
2024-01-17 22:00:00+00:00,77.965,78.846,77.242,79.163,54881,True
2024-01-18 22:00:00+00:00,78.851,78.522,78.182,79.579,49109,True
2024-01-21 22:00:00+00:00,78.587,79.769,77.755,80.372,51308,True
2024-01-22 22:00:00+00:00,79.779,79.535,78.559,80.257,53015,True
2024-01-23 22:00:00+00:00,79.530,80.164,78.893,80.602,52680,True
2024-01-24 22:00:00+00:00,80.159,82.033,79.952,82.360,46511,True
2024-01-25 22:00:00+00:00,82.028,83.455,81.063,83.455,54210,True
2024-01-28 22:00:00+00:00,83.929,82.241,81.711,84.426,59105,True
2024-01-29 22:00:00+00:00,82.246,82.659,81.077,83.092,51753,True
2024-01-30 22:00:00+00:00,82.639,80.756,80.506,82.884,68047,True
2024-01-31 22:00:00+00:00,80.751,79.073,78.813,81.773,88556,True
2024-02-01 22:00:00+00:00,79.068,77.672,77.072,79.654,72848,True
2024-02-04 22:00:00+00:00,77.982,78.205,76.819,78.512,86784,True
2024-02-05 22:00:00+00:00,78.200,78.869,77.836,79.256,79107,True
2024-02-06 22:00:00+00:00,78.854,79.538,78.665,79.656,50669,True
2024-02-07 22:00:00+00:00,79.528,81.930,79.203,82.066,43192,True
2024-02-08 22:00:00+00:00,81.920,82.132,81.379,82.610,43019,True
2024-02-11 22:00:00+00:00,81.830,82.123,80.913,82.331,40761,True
2024-02-12 22:00:00+00:00,82.043,82.761,82.043,83.363,45670,True
2024-02-13 22:00:00+00:00,82.721,81.616,81.511,83.721,49618,True
2024-02-14 22:00:00+00:00,81.631,82.915,80.830,83.362,44587,True
2024-02-15 22:00:00+00:00,82.875,83.387,81.999,83.774,45763,True
2024-02-18 22:00:00+00:00,83.390,83.453,82.641,83.680,22773,True
2024-02-19 22:00:00+00:00,83.523,82.569,82.130,83.709,49322,True
2024-02-20 22:00:00+00:00,82.634,83.068,81.734,83.104,49902,True
2024-02-21 22:00:00+00:00,83.063,83.367,82.254,83.771,42659,True
2024-02-22 22:00:00+00:00,83.337,81.717,81.468,83.404,45871,True
2024-02-25 22:00:00+00:00,81.502,82.473,80.958,82.911,31158,True
2024-02-26 22:00:00+00:00,82.478,83.065,82.000,83.497,31936,True
2024-02-27 22:00:00+00:00,83.080,82.617,82.292,83.860,36020,True
2024-02-28 22:00:00+00:00,82.577,82.679,82.218,83.541,40451,True
2024-02-29 22:00:00+00:00,82.689,84.061,82.497,85.029,34922,True
2024-03-03 22:00:00+00:00,84.273,83.449,83.186,84.707,43009,True
2024-03-04 22:00:00+00:00,83.495,82.604,82.306,83.733,53820,True
2024-03-05 22:00:00+00:00,82.599,83.456,82.429,84.615,39396,True
2024-03-06 22:00:00+00:00,83.491,83.764,82.609,84.015,50855,True
2024-03-07 22:00:00+00:00,83.744,82.377,82.221,84.371,49293,True
2024-03-10 21:00:00+00:00,82.349,82.879,81.518,83.180,47894,True
2024-03-11 21:00:00+00:00,82.884,82.779,82.099,83.441,48184,True
2024-03-12 21:00:00+00:00,82.799,84.318,82.361,84.611,38482,True
2024-03-13 21:00:00+00:00,84.343,85.493,84.277,86.049,36102,True
2024-03-14 21:00:00+00:00,85.478,85.661,84.974,85.911,38854,True
2024-03-17 21:00:00+00:00,85.734,87.089,85.580,87.348,42678,True
2024-03-18 21:00:00+00:00,87.114,87.320,86.699,87.808,34703,True
2024-03-19 21:00:00+00:00,87.345,86.430,85.845,87.494,42585,True
2024-03-20 21:00:00+00:00,86.420,85.818,85.369,86.849,35448,True
2024-03-21 21:00:00+00:00,85.854,85.782,85.409,86.400,34208,True
2024-03-24 21:00:00+00:00,85.649,86.849,85.553,87.273,30236,True
2024-03-25 21:00:00+00:00,86.794,85.981,85.931,87.173,29762,True
2024-03-26 21:00:00+00:00,86.011,86.374,85.300,86.404,28751,True
2024-03-27 21:00:00+00:00,86.394,87.653,86.196,87.741,27723,True
2024-03-31 21:00:00+00:00,87.734,88.353,87.026,88.604,32240,True
2024-04-01 21:00:00+00:00,88.353,89.862,88.245,89.908,35749,True
2024-04-02 21:00:00+00:00,89.852,90.097,89.272,90.586,33706,True
2024-04-03 21:00:00+00:00,90.102,91.594,89.294,91.878,34615,True
2024-04-04 21:00:00+00:00,91.655,91.476,91.130,92.476,36821,True
2024-04-07 21:00:00+00:00,90.667,91.028,89.281,91.592,55880,True
2024-04-08 21:00:00+00:00,91.022,89.990,89.718,91.424,41382,True
2024-04-09 21:00:00+00:00,89.955,90.988,89.275,91.111,54931,True
2024-04-10 21:00:00+00:00,90.968,90.579,89.801,91.359,50452,True
2024-04-11 21:00:00+00:00,90.639,90.607,90.453,92.587,49387,True
2024-04-14 21:00:00+00:00,90.492,90.707,89.067,91.007,61494,True
2024-04-15 21:00:00+00:00,90.707,90.248,89.729,91.163,50552,True
2024-04-16 21:00:00+00:00,90.283,87.753,87.411,90.569,50417,True
2024-04-17 21:00:00+00:00,87.723,87.160,86.347,88.057,53712,True
2024-04-18 21:00:00+00:00,87.215,87.415,86.436,91.006,80839,True
2024-04-21 21:00:00+00:00,87.163,87.196,85.980,87.324,52331,True
2024-04-22 21:00:00+00:00,87.154,88.333,86.073,88.382,55019,True
2024-04-23 21:00:00+00:00,88.389,87.950,87.564,88.733,49006,True
2024-04-24 21:00:00+00:00,88.036,88.885,87.114,88.921,45201,True
2024-04-25 21:00:00+00:00,88.824,88.961,88.493,89.516,35227,True
2024-04-28 21:00:00+00:00,88.663,88.054,87.739,89.018,36343,True
2024-04-29 21:00:00+00:00,88.090,86.678,86.205,88.574,43723,True
2024-04-30 21:00:00+00:00,86.718,84.224,83.999,86.763,51180,True
2024-05-01 21:00:00+00:00,84.234,84.432,83.737,85.133,53189,True
